epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.455,1.44605,2.312,1.65605,0.41333,0.12426,0.04233,0.01452,2.13352,61.1818,2.53993,0.000415645,0.000415645,0.000415645
2,348.705,1.61612,2.53902,1.80813,0.179,0.34978,0.18427,0.09665,1.70112,19.1622,1.91528,0.000804846,0.000804846,0.000804846
3,519.902,1.56169,2.47388,1.74403,0.13166,0.19787,0.05442,0.01779,2.35831,27.6688,2.71002,0.00116655,0.00116655,0.00116655
4,685.872,1.47051,2.32408,1.69179,0.29056,0.27977,0.16059,0.08151,1.53851,19.4504,1.80571,0.00112625,0.00112625,0.00112625
5,852.406,1.40098,2.17952,1.63456,0.46141,0.46884,0.46324,0.29899,1.2775,11.187,1.51527,0.001085,0.001085,0.001085
6,1023.34,1.34775,2.06261,1.59025,0.482,0.47148,0.46159,0.30268,1.20245,11.3177,1.44193,0.00104375,0.00104375,0.00104375
7,1195.4,1.27642,1.96693,1.54528,0.62211,0.46365,0.53048,0.38043,1.06742,16.1652,1.3526,0.0010025,0.0010025,0.0010025
8,1366.19,1.25759,1.91592,1.53872,0.62762,0.57212,0.61651,0.4449,1.02052,9.4172,1.29827,0.00096125,0.00096125,0.00096125
9,1538.89,1.21736,1.79817,1.50409,0.71722,0.5434,0.62987,0.4637,1.02652,9.18144,1.29923,0.00092,0.00092,0.00092
10,1709.76,1.20389,1.76603,1.49614,0.68941,0.57194,0.64449,0.46522,1.03033,8.91096,1.33397,0.00087875,0.00087875,0.00087875
11,1881.89,1.15694,1.69132,1.45863,0.73605,0.60699,0.6931,0.5156,0.9454,7.25,1.2549,0.0008375,0.0008375,0.0008375
12,2052.9,1.13103,1.6188,1.44258,0.71275,0.62316,0.67499,0.51018,0.92399,12.44,1.22349,0.00079625,0.00079625,0.00079625
13,2222.98,1.11328,1.56317,1.43326,0.78474,0.62836,0.72471,0.55287,0.90217,6.4326,1.22062,0.000755,0.000755,0.000755
14,2395,1.10243,1.52661,1.42719,0.71685,0.63867,0.72559,0.55128,0.89117,5.20692,1.21561,0.00071375,0.00071375,0.00071375
15,2567.45,1.08262,1.50292,1.41468,0.79191,0.64265,0.73636,0.56897,0.86084,6.12313,1.18658,0.0006725,0.0006725,0.0006725
16,2739.92,1.04908,1.43856,1.39299,0.79811,0.68445,0.77049,0.59676,0.84243,5.27658,1.13457,0.00063125,0.00063125,0.00063125
17,2911.84,1.05355,1.42395,1.39054,0.82001,0.68769,0.78437,0.60941,0.82568,5.30218,1.13984,0.00059,0.00059,0.00059
18,3081.76,1.02596,1.36686,1.37062,0.83178,0.70464,0.79227,0.61885,0.82283,4.29568,1.1338,0.00054875,0.00054875,0.00054875
19,3254.07,1.0083,1.33608,1.35594,0.79319,0.72396,0.79265,0.63413,0.77559,5.30573,1.10599,0.0005075,0.0005075,0.0005075
20,3425.24,0.99941,1.30893,1.35985,0.83047,0.72219,0.80903,0.65336,0.76698,4.13154,1.08983,0.00046625,0.00046625,0.00046625
21,3597.76,0.87744,1.04316,1.30247,0.85023,0.73069,0.82092,0.66069,0.75122,5.00532,1.08149,0.000425,0.000425,0.000425
22,3769.91,0.8472,0.95778,1.29366,0.86574,0.73111,0.81998,0.65976,0.74142,3.36619,1.08521,0.00038375,0.00038375,0.00038375
23,3940.66,0.84149,0.9462,1.28025,0.87091,0.74055,0.83043,0.67478,0.73295,2.90783,1.08322,0.0003425,0.0003425,0.0003425
24,4111.4,0.80954,0.87552,1.25812,0.88727,0.7425,0.84459,0.68677,0.70841,3.05613,1.05125,0.00030125,0.00030125,0.00030125
25,4283.24,0.7861,0.83899,1.2289,0.845,0.77057,0.84166,0.69135,0.69486,3.03654,1.04301,0.00026,0.00026,0.00026
26,4455.99,0.76531,0.80556,1.21832,0.8813,0.74833,0.84545,0.69342,0.69071,3.35905,1.03788,0.00021875,0.00021875,0.00021875
27,4629.32,0.74669,0.7876,1.20648,0.88128,0.77576,0.85745,0.70922,0.67833,2.66147,1.02637,0.0001775,0.0001775,0.0001775
28,4801.4,0.72381,0.73059,1.18946,0.87811,0.78902,0.86276,0.71529,0.66819,2.24986,1.02777,0.00013625,0.00013625,0.00013625
29,4979.98,0.71105,0.71644,1.18163,0.87783,0.79173,0.86783,0.72349,0.65914,2.43154,1.01405,9.5e-05,9.5e-05,9.5e-05
30,5153.13,0.69939,0.6862,1.1703,0.87677,0.80116,0.86846,0.72196,0.65302,2.52766,1.01351,5.375e-05,5.375e-05,5.375e-05
